collect.....= UnicornPy_2020.05.30.0
device......= UN-2021.05.36
samplerate..= 250.000
channels....= 16
date........= 2022-07-25T14:07:23.241906
filename....= recordeddata_thread
FZ, C3, CZ, C4, PZ, O1, OZ, O2, AccelX, AccelY, AccelZ, GyroX, GyroY, GyroZ, Battery, Sample
-111.848,-114.888,-105.768,-108.540,-111.491,-99.778,-105.858,-104.517,-0.010,0.893,-0.426,-0.671,0.366,0.458,73.333,158.000
-111.759,-114.799,-105.858,-108.540,-111.401,-99.689,-105.768,-104.696,-0.012,0.895,-0.428,-0.580,0.366,0.519,73.333,159.000
-111.759,-114.620,-105.768,-108.540,-111.669,-99.599,-105.590,-104.517,-0.010,0.894,-0.428,-0.641,0.336,0.458,73.333,160.000
-111.759,-114.888,-105.590,-108.540,-111.491,-99.689,-105.411,-104.696,-0.011,0.894,-0.425,-0.641,0.397,0.519,73.333,161.000
-111.580,-114.799,-105.411,-108.361,-111.401,-99.868,-105.590,-104.696,-0.012,0.895,-0.426,-0.580,0.336,0.519,73.333,162.000
-111.669,-114.799,-105.500,-108.361,-111.491,-99.778,-105.590,-104.517,-0.011,0.895,-0.425,-0.610,0.336,0.580,73.333,163.000
-111.580,-114.799,-105.590,-108.361,-111.222,-99.778,-105.590,-104.606,-0.013,0.894,-0.430,-0.793,0.458,0.519,73.333,164.000
-111.669,-114.888,-105.679,-108.361,-111.222,-99.778,-105.679,-104.696,-0.011,0.895,-0.426,-0.732,0.549,0.519,73.333,165.000
-111.938,-114.799,-105.679,-108.272,-111.222,-99.868,-105.679,-104.606,-0.011,0.896,-0.426,-0.732,0.488,0.519,73.333,166.000
-111.848,-114.888,-105.768,-108.451,-111.401,-99.421,-105.590,-104.785,-0.009,0.896,-0.427,-0.732,0.580,0.488,73.333,167.000
-111.759,-114.977,-105.679,-108.540,-111.222,-99.599,-105.590,-104.785,-0.010,0.892,-0.427,-0.854,0.549,0.580,73.333,168.000
-111.669,-114.799,-105.858,-108.540,-111.222,-99.778,-105.590,-104.696,-0.012,0.892,-0.424,-0.793,0.549,0.488,73.333,169.000
-111.669,-114.530,-105.679,-108.451,-111.401,-99.778,-105.500,-104.517,-0.013,0.893,-0.425,-0.763,0.458,0.519,73.333,170.000
-111.580,-114.620,-105.679,-108.540,-111.401,-99.868,-105.411,-104.606,-0.012,0.896,-0.423,-0.793,0.427,0.488,73.333,171.000
-111.669,-114.620,-105.679,-108.451,-111.491,-99.868,-105.411,-104.338,-0.011,0.894,-0.423,-0.824,0.519,0.519,73.333,172.000
-111.491,-114.709,-105.590,-108.540,-111.491,-99.778,-105.321,-104.249,-0.009,0.894,-0.425,-0.793,0.488,0.580,73.333,173.000
-111.491,-114.799,-105.590,-108.451,-111.222,-99.599,-105.321,-104.517,-0.011,0.893,-0.425,-0.702,0.488,0.580,73.333,174.000
-111.491,-114.709,-105.590,-108.361,-111.401,-99.778,-105.411,-104.785,-0.012,0.895,-0.428,-0.641,0.397,0.488,73.333,175.000
-111.491,-114.799,-105.590,-108.451,-111.312,-99.778,-105.411,-104.785,-0.011,0.893,-0.425,-0.519,0.397,0.458,73.333,176.000
-111.491,-114.977,-105.500,-108.272,-111.312,-99.689,-105.500,-104.785,-0.011,0.891,-0.424,-0.610,0.397,0.549,73.333,177.000
-111.491,-114.530,-105.590,-108.182,-111.401,-99.689,-105.679,-104.696,-0.012,0.893,-0.425,-0.671,0.397,0.519,73.333,178.000
-111.580,-114.620,-105.590,-108.272,-111.401,-99.689,-105.768,-104.696,-0.010,0.894,-0.426,-0.732,0.366,0.488,73.333,179.000
-111.491,-114.620,-105.500,-108.182,-111.312,-99.868,-105.411,-104.696,-0.011,0.896,-0.428,-0.702,0.458,0.549,73.333,180.000
-111.491,-114.799,-105.411,-108.093,-111.222,-99.599,-105.411,-104.427,-0.010,0.894,-0.427,-0.763,0.366,0.549,73.333,181.000
-111.491,-114.799,-105.411,-108.361,-111.312,-99.599,-105.679,-104.427,-0.012,0.894,-0.428,-0.641,0.336,0.519,73.333,182.000
-111.669,-114.530,-105.411,-108.808,-111.222,-99.510,-105.590,-104.696,-0.012,0.894,-0.426,-0.702,0.305,0.519,73.333,183.000
